No.;Nombre archivo;Fecha;Titular;Periodico;Fecha Periodico;URL;Derecho PPal;Otros Derechos;SubDerechos;EP
188;EN (20.09.2018) 1.2.1.3  200 venezolanos detenidos en Trinidad piden retorno a Venezuela.pdf;20.09.2018;200 venezolanos detenidos en Trinidad piden retorno a Venezuela;EN;20/9/2018;http://www.el-nacional.com/noticias/mundo/200-venezolanos-detenidos-trinidad-piden-retorno-venezuela_252473;1.2;;1.2.1.3;NO
189;EN  (07.12.2018)   5.   1.10.1.1.pdf;07.12.2018;HRW advirtió de un empeoramiento de los derechos humanos en Latinoamérica;EN;7/12/2018;http://www.el-nacional.com/noticias/latinoamerica/hrw-advirtio-empeoramiento-los-derechos-humanos-latinoamerica_262500;5;1.10;1.10.1.1;NO
190;EN   (13.11.2018)   1.2.2.  1.10.1.    5..pdf;13.11.2018;Liberaron en Aragua a la activista política Rosa Virgina González;EN;13/11/2018;http://www.el-nacional.com/noticias/politica/liberaron-aragua-activista-politica-rosa-virgina-gonzalez_259566;1.2;1.10, 5;1.2.2, 1.10.1;NO
191;EN  (04.10.2018)  18..pdf;04.10.2018;Representante de Venezuela en CIDH indicó que la crisis es culpa de EE UU;EN;4/10/2018;http://www.el-nacional.com/noticias/politica/representante-venezuela-cidh-indico-que-crisis-culpa_254346;18;;;NO
192;EN   (20.11.2018)    2.1.1..pdf;20.11.2018;Registraron 47 muertes por desnutrición infantil en Monagas;EN;20/11/2018;http://www.el-nacional.com/noticias/sociedad/registraron-muertes-por-desnutricion-infantil-monagas_260479;2.1;;2.1.1;NO
193;EN  (11.10.2018)   1.2.2.  1.10.1.1.pdf;11.10.2018;Rafaela Requesens: “Juan está incomunicado y aislado en una celda”;EN;11/10/2018;http://www.el-nacional.com/noticias/politica/rafaela-requesens-juan-esta-incomunicado-aislado-una-celda_255339;1.2;1.10;1.2.2, 1.10.1.1;NO
194;EN   (29.11.2018)   EP   2.3.4..pdf;29.11.2018;Trabajadores del sector público protestaron en la Plaza Morelos;EN;28/11/2018;http://www.el-nacional.com/noticias/protestas/trabajadores-del-sector-publico-protestaron-plaza-morelos_261377;2.3;;2.3.4;SI
195;EN   (20.11.2018)   1.2.2.   1.10.1.   5..pdf;20.11.2018;Foro Penal registró 286 presos políticos actualmente en Venezuela;EN;20/11/2018;http://www.el-nacional.com/noticias/presos-politicos/foro-penal-registro-286-presos-politicos-actualmente-venezuela_260458;1.2;1.10, 5;1.2.2, 1.10.1;NO
196;EU  (25.09.2018)  2.8.1.   3.2.1.   Exigen atención de servicios públicos a la alcaldía de Barinas.pdf;25.09.2018;Exigen atención de servicios públicos a la alcaldía de Barinas;EU;25/9/2018;http://www.eluniversal.com/venezuela/21497/exigen-atencion-de-servicios-publicos-a-la-alcaldia-de-barinas;2.8;3.2;2.8.1, 3.2.1;NO
197;EN (21-09-2018)  2.3.4.    Denunciaron al gobierno en la OIT por eliminar los contratos.pdf;21-09-2018;Denunciaron al gobierno en la OIT por eliminar los contratos;EN;21/9/2018;http://www.el-nacional.com/noticias/economia/denunciaron-gobierno-oit-por-eliminar-los-contratos_252640;2.3;;2.3.4;NO
198;EN (18.09.2018)   EP  2.6.1.    Pensionados protestan en Bolívar por pago incompleto.pdf;18.09.2018;Pensionados protestan en Bolívar por pago incompleto;EN;18/9/2018;http://www.el-nacional.com/noticias/protestas/pensionados-protestan-bolivar-por-pago-incompleto_252185;2.6;;2.6.1;SI
199;EN  (11.10.2018)  1.10.1.  CONTEXTO.pdf;11.10.2018;Colombia reconoció la condición de refugiado a Julio Borges;EN;11/10/2018;http://www.el-nacional.com/noticias/latinoamerica/colombia-reconocio-condicion-refugiado-julio-borges_255404;1.10;CONTEXTO;1.10.1;NO
200;EU  (04.10.2018)   EP   2.3.4..pdf;04.10.2018;Docentes de Vargas exigen pago de deudas pendientes;EU;4/10/2018;http://www.eluniversal.com/caracas/22305/docentes-de-vargas-exigen-pago-de-deudas-pendientes;2.3;;2.3.4;SI
201;EU  (05.10.2018)   2.6.1..pdf;05.10.2018;Pensionados advierten que aumentarán colas en los bancos por pagos semanales;EU;5/10/2018;http://www.eluniversal.com/politica/22447/pensionados-advierten-que-aumentaran-colas-en-los-bancos-tras-pagos-semanales;2.6;;2.6.1;NO
202;EN  (02.10.2018)  18.   CONTEXTO.pdf;02.10.2018;"ONU visualiza ""desarrollos positivos"" en Venezuela y Nicaragua";EN;2/10/2018;http://www.el-nacional.com/noticias/mundo/onu-visualiza-desarrollos-positivos-venezuela-nicaragua_253915;18;CONTEXTO;;NO
203;EN (10.09.2018)  5. Michelle Bachelet aceptó reunirse con Jorge Arreaza.pdf;10.09.2018;Michelle Bachelet aceptó reunirse con Jorge Arreaza;EN;10/9/2018;http://www.el-nacional.com/noticias/latinoamerica/michelle-bachelet-acepto-reunirse-con-jorge-arreaza_251143;5;;;NO
204;EN   (15.11.2018)   1.1.1.9.   1.10.1.1.pdf;15.11.2018;Familiares de muertos en Torre Viasa llevarán caso a Fiscalía y Defensoría;EN;15/11/2018;http://www.el-nacional.com/noticias/sucesos/familiares-muertos-torre-viasa-llevaran-caso-fiscalia-defensoria_259783;1.1;1.10;1.1.1.9, 1.10.1.1;NO
205;EU  (10.10.2018)   2.1.1..pdf;10.10.2018;El Aissami: medidas de EEUU impiden adquirir medicinas;EU;10/10/2018;http://www.eluniversal.com/economia/22781/el-aissami-medidas-de-eeuu-impiden-adquirir-medicinas;2.1;;2.1.1;NO
206;EU    (20.11.2018)    EP    2.3.4..pdf;20.11.2018;Trabajadores de la Cancillería protestaron por bajos sueldos y en rechazo al pago en petros;EU;20/11/2018;http://www.eluniversal.com/politica/26289/trabajadores-de-la-cancilleria-protestan-por-bajos-sueldos-y-en-rechazo-a-las-tablas-salariales;2.3;;2.3.4;SI
207;EN  (03.12.2028)    EP  1.2.2.   2.3.3..pdf;03.12.2028;Trabajadores protestan para exigir la libertad de Rubén González;EN;3/12/2018;http://www.el-nacional.com/noticias/protestas/trabajadores-protestan-para-exigir-libertad-ruben-gonzalez_261931;1.2;2.3;1.2.2, 2.3.3;SI
208;EN   (13.11.2018)    EP    2.3.4..pdf;13.11.2018;Docentes protestaron en Táchira en rechazo a salarios colectivos;EN;13/11/2018;http://www.el-nacional.com/noticias/protestas/docentes-protestaron-tachira-rechazo-salarios-colectivos_259564;2.3;;2.3.4;SI
209;EN  (04.10.2018)   5.   18..pdf;04.10.2018;DD HH de la UCAB: Carnet de la patria es una mutación de la lista Tascón;EN;4/10/2018;http://www.el-nacional.com/noticias/politica/ucab-carnet-patria-una-mutacion-lista-tascon_254344;5;18;;NO
210;EN   (17.11.2018)   CONTEXTO  12..pdf;17.11.2018;Entrevista a Carleth Morales: “La resistencia no está muerta”;EN;17/11/2018;http://www.el-nacional.com/noticias/papel-literario/entrevista-carleth-morales-resistencia-esta-muerta_259968;CONTEXTO;12;;NO
211;EN   (18.10.2018)  12.  CONTEXTO.pdf;18.10.2018;Luisa Ortega Díaz: Hay que impedir que impongan una nueva Constitución;EN;18/10/2018;http://www.el-nacional.com/noticias/oposicion/luisa-ortega-diaz-hay-que-impedir-que-impongan-una-nueva-constitucion_256270;12;CONTEXTO;;NO
212;EN   (29.09.2018)    18.   5.1..pdf;29.09.2018;Francia apoyó iniciativa para que CPI investigue crímenes en Venezuela;EN;29/9/2018;http://www.el-nacional.com/noticias/mundo/francia-apoyo-iniciativa-para-que-cpi-investigue-crimenes-venezuela_253731;18;5;5.1;NO
213;EN   (11.10.2018)   18.   1.1.1.3.  1.10.1..pdf;11.10.2018;CIDH exigió una investigación profunda del caso de Fernando Albán;EN;11/10/2018;http://www.el-nacional.com/noticias/mundo/cidh-exigio-una-investigacion-profunda-del-caso-fernando-alban_255367;18;1.1, 1.10;1.1.1.3, 1.10.1;NO
214;EN (17.09.2018)  EP 2.8.1.   Habitantes de Maracaibo protestan por tener más de 24 horas sin luz.pdf;17.09.2018;Habitantes de Maracaibo protestan por tener más de 24 horas sin luz;EN;17/9/2018;http://www.el-nacional.com/noticias/sociedad/habitantes-maracaibo-protestan-por-tener-mas-horas-sin-luz_252032;2.8;;2.8.1;SI
215;EN  (04.12.2018)   1.2.2..pdf;04.12.2018;Familiares exigen libertad plena para presos políticos antes de Navidad;EN;4/12/2018;http://www.el-nacional.com/noticias/politica/familiares-exigen-libertad-plena-para-presos-politicos-antes-navidad_262037;1.2;;1.2.2;NO
216;EN   (22.11.2018)   2.10.1..pdf;22.11.2018;Gobierno levanta medidas que impedían el traslado de reses;EN;22/11/2018;http://www.el-nacional.com/noticias/economia/gobierno-levanta-medidas-que-impedian-traslado-reses_260683;2.10;;2.10.1;NO
217;EN   (05.12.2018)   1.2.2.   1.10.1..pdf;05.12.2018;Familiares denuncian que funcionarios de PNB engañaron a presos colombianos;EN;5/12/2018;http://www.el-nacional.com/noticias/politica/familiares-denuncian-que-funcionarios-pnb-enganaron-presos-colombianos_262158;1.2;1.10;1.2.2, 1.10.1;NO
218;EU    (26.11.2018)   2.8.2..pdf;26.11.2018;Fijan en Bs.S 800 mil crédito para compra de vivienda principal;EU;26/11/2018;http://www.eluniversal.com/economia/26688/fijan-en-bss-800-mil-credito-para-compra-de-vivienda-principal;2.8;;2.8.2;NO
219;EN   (21.11.2018)   CONTEXTO  2.3.1.pdf;21.11.2018;Gobierno cede a China operaciones de Pdvsa y de las empresas básicas;EN;21/11/2018;http://www.el-nacional.com/noticias/economia/gobierno-cede-china-operaciones-pdvsa-las-empresas-basicas_260528;CONTEXTO;2.3;2.3.1;NO
220;EN  (14.10.2018)  1.10.1.  1.3.4..pdf;14.10.2018;Saab rechazó allanamientos ilegales realizado por policías;EN;14/10/2018;http://www.el-nacional.com/noticias/politica/saab-rechazo-allanamientos-ilegales-realizado-por-policias_255698;1.10;1.3;1.10.1, 1.3.4;NO
221;EN  (14.10.2018)   1.2.2.   1.1.0.1.pdf;14.10.2018;Saleh: Me estoy adaptando a la libertad física y a la realidad de la calle;EN;14/10/2018;http://www.el-nacional.com/noticias/presos-politicos/saleh-estoy-adaptando-libertad-fisica-realidad-calle_255739;1.2;1.1;1.2.2, 1.1.0.1;NO
222;EN  (26.11.2018)    18.  CONTEXTO.pdf;26.11.2018;La ONU aprobó ayuda de emergencia humanitaria para Venezuela;EN;26/11/2018;http://www.el-nacional.com/noticias/mundo/onu-aprobo-ayuda-emergencia-humanitaria-para-venezuela_261168;18;CONTEXTO;;NO
223;EU  (05.12.2018)   1.2.2.    1.10.1  18..pdf;05.12.2018;"Colombia juzga de ""aterrador"" silencio de Venezuela frente a colombianos presos acusados de ser paramilitares";EU;5/12/2018;http://www.eluniversal.com/el-universal/27547/colombia-juzga-de-aterrador-silencio-de-venezuela-frente-a-colombianos-presos-acusados-de-ser;1.2;1.10, 18;1.2.2, 1.10.1;NO
224;EN  (27.09.2018)  18.   5.   Qué implica que seis países hayan pedido a la CPI investigar a Maduro.pdf;27.09.2018;Qué implica que seis países hayan pedido a la CPI investigar a Maduro;EN;27/9/2018;http://www.el-nacional.com/noticias/bbc-mundo/que-implica-que-seis-paises-hayan-pedido-cpi-investigar-maduro_253402;18;5;;NO
225;EN    (05.12.2018)   EP   2.6.1..pdf;05.12.2018;Jubilados del Seniat protestaron en Plaza Venezuela por bajos ingresos;EN;5/12/2018;http://www.el-nacional.com/noticias/protestas/jubilados-del-seniat-protestaron-plaza-venezuela-por-bajos-ingresos_262205;2.6;;2.6.1;SI
226;EU   (06.12.2018)   EP   CONTEXTO.pdf;06.12.2018;María Corina Machado marchó en Barquisimeto contra el Gobierno nacional;EU;6/12/2018;http://www.eluniversal.com/venezuela/27597/maria-corina-machado-marcho-en-barquisimeto-contra-el-gobierno-nacional;CONTEXTO;;;SI
227;EU   (07.10.2018)    2.1.1..pdf;07.10.2018;Sociedad de Infectología: Existen 4.500 casos de sarampión y 1.900 de difteria en el país;EU;7/10/2018;http://www.eluniversal.com/politica/22558/sociedad-de-infectologia-en-el-pais-existen-unos-4500-casos-de-sarampion-y-1900-de-difteria;2.1;;2.1.1;NO
228;EN  (08.10.2018)   1.1.1.3.  1.2.2.   1.10.1..pdf;08.10.2018;Las dos versiones oficiales sobre la muerte de Fernando Albán;EN;8/10/2018;http://www.el-nacional.com/noticias/sucesos/las-dos-versiones-oficiales-sobre-muerte-fernando-alban_254902;1.1;1.2, 1.10;1.1.1.3, 1.2.2, 1.10.1;NO
229;EU   (14.10.2018)   1.2.1.3.   1.10.1..pdf;14.10.2018;Denuncian detención de los padres de dos acusados por el “Golpe Azul”;EU;14/10/2018;http://www.eluniversal.com/politica/23206/detienen-al-padre-de-unos-de-los-acusados-por-el-golpe-azul;1.2;1.10;1.2.1.3, 1.10.1;NO
230;EN  (06.10.2018)    2.1.1..pdf;06.10.2018;Pacientes renales de Táchira sufren la falta de insumos;EN;6/10/2018;http://www.el-nacional.com/noticias/salud/pacientes-renales-tachira-sufren-falta-insumos_254632;2.1;;2.1.1;NO
231;EU   (21.09.2018)  EP    2.8.1.   25 días sin agua detona protesta en comunidad de Los Teques.pdf;21.09.2018;25 días sin agua detona protesta en comunidad de Los Teques;EU;21/9/2018;http://www.eluniversal.com/caracas/21248/25-dias-sin-agua-detona-protesta-en-comunidad-de-los-teques;2.8;;2.8.1;SI
232;EN   (06.12.2108)   18.   1.1.1.9.  1.10.1.  1.2.2. 5. C.pdf;06.12.2108;CIDH exigió al Estado respeto a la verdad y la justicia en el caso Albán;EN;6/12/2018;http://www.el-nacional.com/noticias/politica/cidh-exigio-estado-respeto-verdad-justicia-caso-alban_262285;18;1.1, 1.10, 1.2, 5;1.1.1.9, 1.10.1, 1.2.2;NO
233;EN  (27.09.2018)  18.  5.     ONU aprobó resolución sobre la crisis humanitaria en Venezuela.pdf;27.09.2018;ONU aprobó resolución sobre la crisis humanitaria en Venezuela;EN;27/9/2018;http://www.el-nacional.com/noticias/mundo/onu-aprobo-resolucion-sobre-crisis-humanitaria-venezuela_253427;18;5;;NO
234;EU   (28.11.2018)   1.2.5.  1.10.2.pdf;28.11.2018;En Anzoátegui piden al fiscal general resolver caso de familiares desaparecidos;EU;28/11/2018;http://www.eluniversal.com/venezuela/26958/en-anzoategui-piden-al-fiscal-general-resolver-caso-de-familiares-desaparecidos;1.2;1.10;1.2.5, 1.10.2;NO
235;EU   (09.10.2018)   EP   2.8.1..pdf;09.10.2018;Caraqueños protestaron por fallas de servicios;EU;9/10/2018;http://www.eluniversal.com/caracas/22698/caraquenos-protestaron-por-fallas-de-servicios;2.8;;2.8.1;SI
236;EU   (05.10.2018)   EP   2.8.1..pdf;05.10.2018;Escasez de gas detona dos protestas en la carretera Panamericana;EU;5/10/2018;http://www.eluniversal.com/caracas/22426/escasez-de-gas-detona-dos-protestas-en-la-carretera-panamericana;2.8;;2.8.1;SI
237;EN  (02.10.2018)    18.  CONTEXTO.pdf;02.10.2018;ONU: 1,9 millones de personas abandonaron Venezuela desde 2015;EN;2/10/2018;http://www.el-nacional.com/noticias/mundo/onu-millones-personas-abandonaron-venezuela-desde-2015_253875;18;CONTEXTO;;NO
238;EN  (26.09.2018)  EP    2.3.2.   1.600 trabajadores de Smurfit Kappa fueron liquidados luego de intervención.pdf;26.09.2018;1.600 trabajadores de Smurfit Kappa fueron liquidados luego de intervención;EN;26/9/2018;http://www.el-nacional.com/noticias/economia/1600-trabajadores-smurfit-kappa-fueron-liquidados-luego-intervencion_253258;2.3;;2.3.2;SI
239;EN (21.09.2018)  2.1.1.   Hospitales sin aspirinas para salvar a infartados.pdf;21.09.2018;Hospitales sin aspirinas para salvar a infartados;EN;21/9/2018;http://www.el-nacional.com/noticias/salud/hospitales-sin-aspirinas-para-salvar-infartados_252629;2.1;;2.1.1;NO
240;EN  (10.10.2018)  2.10.1..pdf;10.10.2018;Gobierno subió 39.900% precio de las cajas CLAP y contienen menos productos;EN;10/10/2018;http://www.el-nacional.com/noticias/economia/gobierno-subio-39900-precio-las-cajas-clap-contienen-menos-productos_255119;2.10;;2.10.1;NO
241;EN (21-09.2018)  EP   2.3.4.    Trabajadores de Conferry exigieron la recuperación de las embarcaciones.pdf;21-09.2018;Trabajadores de Conferry exigieron la recuperación de las embarcaciones;EN;21/9/2018;http://www.el-nacional.com/noticias/protestas/trabajadores-conferry-exigieron-recuperacion-las-embarcaciones_252675;2.3;;2.3.4;SI
242;EN   (28.11.2018)   CONTEXTO.pdf;28.11.2018;“Cifras de Reverol contrastan con la realidad del país”;EN;28/11/2018;http://www.el-nacional.com/noticias/sucesos/cifras-reverol-contrastan-con-realidad-del-pais_261330;CONTEXTO;;;NO
243;EN  (18.10.2018)  EP   3.2.1.    1.10.1.1.pdf;18.10.2018;Siete cadáveres de mineros fueron llevados a un fuerte militar;EN;18/10/2018;http://www.el-nacional.com/noticias/sucesos/siete-cadaveres-mineros-fueron-llevados-fuerte-militar_256224;3.2;1.10;3.2.1, 1.10.1.1;SI
244;EU    (23.11.2018)    3.1.1.   2.10.1.pdf;23.11.2018;Cañicultores piden al gobierno proteger la producción nacional;EU;23/11/2018;http://www.eluniversal.com/economia/26484/canicultores-piden-al-gobierno-proteger-la-produccion-nacional;3.1;2.10;3.1.1, 2.10.1;NO
245;EN  (02.10.2018)  EP   2.3.4..pdf;02.10.2018;Trabajadores de CVG Alcasa inician nueva jornada de protesta en Guayana ;EN;2/10/2018;http://www.el-nacional.com/noticias/protestas/trabajadores-cvg-alcasa-inician-nueva-jornada-protesta-guayana_253949;2.3;;2.3.4;SI
246;EN (17.09.2018) EP   2.3.4   Docentes protestan en Carabobo por incumplimiento de pago.pdf;17.09.2018;Docentes protestan en Carabobo por incumplimiento de pago;EN;17/9/2018;http://www.el-nacional.com/noticias/protestas/docentes-protestan-carabobo-por-incumplimiento-pago_252033;2.3;;2.3.4;SI
247;EN   (08.10.2018)   EP  2.6.1.     2.3.4..pdf;08.10.2018;Jubilados de Pdvsa protestaron por incumplimiento de pago en dólares;EN;8/10/2018;http://www.el-nacional.com/noticias/protestas/jubilados-pdvsa-protestaron-por-incumplimiento-pago-dolares_254856;2.6;2.3;2.6.1, 2.3.4;SI
248;EU  (25.09.2018)  1.2.2.  CONTEXTO    Duque asegura que Colombia no extraditará a Julio Borges.pdf;25.09.2018;Duque asegura que Colombia no extraditará a Julio Borges;EU;25/9/2018;http://www.eluniversal.com/politica/21512/duque-asegura-que-colombia-no-extraditara-a-julio-borges;1.2;CONTEXTO;1.2.2;NO
249;EN  (18.09.2018)  15.1  CONTEXTO   Provea_ Decreto de Emergencia Económica consolida la represión.pdf;18.09.2018;Provea: Decreto de Emergencia Económica consolida la represión;EN;18/9/2018;http://www.el-nacional.com/noticias/politica/provea-decreto-emergencia-economica-consolida-represion_252151;15;CONTEXTO;15.1;NO
250;EN  (28.09.2018)   EP   2.10.1..pdf;28.09.2018;Ciudadanos protestaron por posible reubicación del Mercado DIno de Táchira;EN;28/9/2018;http://www.el-nacional.com/noticias/sociedad/ciudadanos-protestaron-por-posible-reubicacion-del-mercado-dino-tachira_253598;2.10;;2.10.1;SI
251;EU  (25.09.2018)  2.10.1.  CONTEXTO      Programa Mundial de Alimentos necesita $22 millones para atender a venezolanos que entran a Colombia.pdf;25.09.2018;Programa Mundial de Alimentos necesita $22 millones para atender a venezolanos que entran a Colombia;EU;25/9/2018;http://www.eluniversal.com/politica/21514/programa-mundial-de-alimentos-necesita-22-millones-para-atender-a-venezolanos-que-entran-a-colombia;2.10;CONTEXTO;2.10.1;NO
252;EU   (26.11.2018)    3.2.1..pdf;26.11.2018;Optan por quemar la basura ante fallas de aseo en Vargas;EU;26/11/2018;http://www.eluniversal.com/caracas/26777/optan-por-quemar-la-basura-ante-fallas-de-aseo-en-vargas;3.2;;3.2.1;NO
253;EU   (10.10.2018)   EP  1.1.1.3.    1.2.2.   1.10.1.pdf;10.10.2018;Se inicia el cortejo fúnebre del concejal metropolitano fallecido Fernando Albán;EU;10/10/2018;http://www.eluniversal.com/politica/22841/se-inicia-el-cortejo-funebre-del-concejal-metropolitano-fallecido-fernando-alban;1.1;1.2, 1.10;1.1.1.3, 1.2.2, 1.10.1;SI
254;EN (18.09.2018)  3.1.1.   Denuncian que el gobierno prepara la expropiación de 71 fincas ganaderas.pdf;18.09.2018;Denuncian que el gobierno prepara la expropiación de 71 fincas ganaderas;EN;18/9/2018;http://www.el-nacional.com/noticias/economia/denuncian-que-gobierno-prepara-expropiacion-fincas-ganaderas_252138;3.1;;3.1.1;NO
255;EN   (08.10.2018)  1.1.1.3    1.2.2.    1.10.1.1..pdf;08.10.2018;Así fue hallado el presunto cadáver de Fernando Albán;EN;8/10/2018;http://www.el-nacional.com/noticias/sucesos/asi-fue-hallado-presunto-cadaver-fernando-alban_254883;1.1;1.2, 1.10;1.1.1.3, 1.2.2, 1.10.1.1;NO
256;EU   (28.09.2018)   3.2.1..pdf;28.09.2018;Reportan presencia de crudo en las costa del oeste de Anzoátegui;EU;28/9/2018;http://www.eluniversal.com/venezuela/21874/reportan-presencia-de-crudo-en-las-costas-oeste-del-estado-anzoategui;3.2;;3.2.1;NO
257;EN  (27.09.2018)  1.10.2    Ortega Díaz_ El gobierno de EE UU debería aprehender a Nicolás Maduro.pdf;27.09.2018;Ortega Díaz: El gobierno de EE UU debería aprehender a Nicolás Maduro;EN;27/9/2018;http://www.el-nacional.com/noticias/politica/ortega-diaz-gobierno-deberia-aprehender-nicolas-maduro_253323;1.10;;1.10.2;NO
258;EU  (24.09.2018)   1.1.1.9.    Mueren cuatro jóvenes tras procedimiento policial en Filas de Mariche.pdf;24.09.2018;Mueren cuatro jóvenes tras procedimiento policial en Filas de Mariche;EU;24/9/2018;http://www.eluniversal.com/sucesos/21378/mueren-cuatro-jovenes-tras-procedimiento-policial-en-filas-de-mariche;1.1;;1.1.1.9;NO
259;EU   (27.11.2018)   18.  2.1.1.     2.10.1.pdf;27.11.2018;ONU libera 9,2 millones de dólares para atención médica y nutrición en Venezuela;EU;27/11/2018;http://www.eluniversal.com/venezuela/26809/onu-libera-92-millones-para-atencion-medica-y-nutricion-de-venezuela;18;2.1, 2.10;2.1.1, 2.10.1;NO
260;EU   (03.12.2018)   2.8.1.2..pdf;03.12.2018;Denuncian intento de invasión en terreno de Terrazas de Bella Vista;EU;3/12/2018;http://www.eluniversal.com/caracas/27245/denuncian-intento-de-invasion-en-terreno-de-terrazas-de-bella-vista;2.8;;2.8.1.2;NO
261;EN   (29.11.2018)   2.3.5..pdf;29.11.2018;Maduro anunció nuevo sueldo mínimo;EN;1/12/2018;http://www.el-nacional.com/noticias/politica/maduro-anuncio-nuevo-sueldo-minimo_260501;2.3;;2.3.5;NO
262;EN   (19.10.2018)    2.1.1..pdf;19.10.2018;Fefarven: Escasez de medicinas llegó a 85%;EN;19/10/2018;http://www.el-nacional.com/noticias/sociedad/fefarven-escasez-medicinas-llego_256407;2.1;;2.1.1;NO
263;EN   (22.11.2018)    EP   2.2.1.    2.3.4..pdf;22.11.2018;Docentes protestaron en Portuguesa por bajos salarios;EN;22/11/2018;http://www.el-nacional.com/noticias/protestas/docentes-protestaron-portuguesa-por-bajos-salarios_260711;2.2;2.3;2.2.1, 2.3.4;SI
264;EN (18.09.2018)  EP  2.3.4.  2.6.1.   Trabajadores y jubilados protestan frente a la Cancillería en Caracas.pdf;18.09.2018;Trabajadores y jubilados protestan frente a la Cancillería en Caracas;EN;18/9/2018;http://www.el-nacional.com/noticias/protestas/trabajadores-jubilados-protestan-frente-cancilleria-caracas_252202;2.3;2.6;2.3.4, 2.6.1;SI
265;EN  (17.11.2018)     18.  1.10.1.pdf;17.11.2018;Gobierno tendrá que indemnizar a Linda Loaiza por violaciones y negligencia;EN;17/11/2018;http://www.el-nacional.com/noticias/politica/gobierno-tendra-que-indemnizar-linda-loaiza-por-violaciones-negligencia_260068;18;1.10;1.10.1;NO
